Gaz Günü;GRF (TL/1000Sm3);GRF (USD/1000Sm3);GRF (EUR/1000Sm3);GRF (USD/MMBtu)
15.05.2025;13.587,77;351,70;29,50;9,69
16.05.2025;13.539,32;350,81;29,43;9,66
17.05.2025;13.815,93;357,98;30,04;9,86
18.05.2025;13.802,50;357,63;30,01;9,85
19.05.2025;13.785,36;357,19;29,97;9,84
20.05.2025;13.715,74;353,76;29,54;9,74
21.05.2025;13.687,44;353,13;29,29;9,73
22.05.2025;13.827,40;356,41;29,63;9,82
23.05.2025;13.489,27;347,51;28,81;9,57
24.05.2025;13.360,75;344,19;28,54;9,48
25.05.2025;13.301,23;342,66;28,41;9,44
26.05.2025;13.432,95;345,40;28,51;9,51
27.05.2025;13.420,83;344,98;28,57;9,50
28.05.2025;13.579,54;348,36;28,91;9,60
29.05.2025;13.717,86;351,55;29,30;9,68
30.05.2025;13.546,92;346,80;28,76;9,55
31.05.2025;13.597,23;348,09;28,87;9,59
01.06.2025;13.894,29;355,69;29,50;9,80
02.06.2025;13.807,03;352,98;29,06;9,72
03.06.2025;13.797,61;353,06;29,08;9,72
04.06.2025;13.649,42;349,47;28,85;9,63
05.06.2025;13.799,41;353,31;29,17;9,73
06.06.2025;13.770,00;352,56;29,10;9,71
07.06.2025;13.871,34;355,15;29,32;9,78
08.06.2025;13.806,00;353,48;29,18;9,74
09.06.2025;13.715,00;351,15;28,99;9,67
10.06.2025;13.714,64;350,41;28,86;9,65
11.06.2025;13.698,52;350,17;28,80;9,65
12.06.2025;13.699,17;349,32;28,41;9,62
13.06.2025;13.686,85;348,67;28,44;9,60
14.06.2025;13.632,43;347,28;28,32;9,57
15.06.2025;13.824,02;352,16;28,72;9,70
16.06.2025;13.692,57;348,23;28,27;9,59
17.06.2025;13.730,22;349,36;28,40;9,62
18.06.2025;13.735,42;348,41;28,46;9,60
19.06.2025;13.683,56;346,59;28,39;9,55
20.06.2025;13.669,59;345,71;28,20;9,52
21.06.2025;13.623,21;344,53;28,11;9,49
22.06.2025;13.620,08;344,45;28,10;9,49
23.06.2025;13.642,02;344,09;28,16;9,48
24.06.2025;13.590,88;343,64;27,84;9,47
25.06.2025;13.632,07;343,90;27,86;9,47
26.06.2025;13.607,76;342,77;27,51;9,44
27.06.2025;13.533,75;340,54;27,32;9,38
28.06.2025;13.453,78;338,52;27,16;9,32
29.06.2025;13.400,00;337,17;27,05;9,29
30.06.2025;13.491,41;339,49;27,21;9,35
01.07.2025;13.739,56;345,45;27,51;9,52
02.07.2025;13.802,83;347,42;27,74;9,57
03.07.2025;14.234,38;358,76;28,59;9,88
04.07.2025;14.961,54;377,06;30,10;10,39
05.07.2025;14.831,17;373,78;29,83;10,30
06.07.2025;14.698,83;370,44;29,57;10,20
07.07.2025;14.651,70;367,19;29,40;10,11
08.07.2025;14.947,81;374,32;29,97;10,31
09.07.2025;14.549,05;364,07;29,22;10,03
10.07.2025;14.543,75;363,80;29,16;10,02
11.07.2025;14.494,52;362,29;29,13;9,98
12.07.2025;14.525,00;363,06;29,20;10,00
13.07.2025;14.584,47;364,54;29,32;10,04
14.07.2025;14.638,53;365,16;29,37;10,06
15.07.2025;14.584,00;363,80;29,26;10,02
16.07.2025;14.493,75;360,87;29,19;9,94
17.07.2025;14.550,00;361,93;29,35;9,97
18.07.2025;14.471,50;359,74;29,06;9,91
19.07.2025;14.490,68;360,21;29,10;9,92
20.07.2025;14.430,00;358,70;28,98;9,88
21.07.2025;14.487,71;359,40;29,00;9,90
22.07.2025;14.774,15;366,28;29,43;10,09
23.07.2025;14.430,65;357,47;28,63;9,85
24.07.2025;14.398,14;356,45;28,50;9,82
25.07.2025;14.483,19;358,50;28,70;9,87
26.07.2025;14.433,17;357,27;28,61;9,84
27.07.2025;14.430,00;357,19;28,60;9,84
28.07.2025;14.419,00;356,27;28,68;9,81
29.07.2025;14.428,20;356,31;28,97;9,81
30.07.2025;14.392,62;355,38;28,92;9,79
31.07.2025;14.353,86;354,30;29,09;9,76
01.08.2025;14.335,60;353,80;29,14;9,75
02.08.2025;14.316,01;353,32;29,10;9,73
03.08.2025;14.442,61;356,44;29,35;9,82
04.08.2025;14.440,00;355,72;28,90;9,80
05.08.2025;14.557,79;358,54;29,19;9,88
06.08.2025;14.478,07;356,66;28,93;9,82
07.08.2025;14.412,66;355,16;28,60;9,78
08.08.2025;14.393,87;354,93;28,65;9,78
09.08.2025;14.379,00;354,56;28,62;9,77
10.08.2025;14.460,22;356,56;28,78;9,82
11.08.2025;14.550,00;358,09;28,89;9,86
12.08.2025;14.506,87;356,97;28,90;9,83
13.08.2025;14.503,24;356,72;28,62;9,83
14.08.2025;14.469,15;355,43;28,59;9,79
15.08.2025;14.437,62;354,46;28,51;9,76
16.08.2025;14.435,30;354,40;28,51;9,76
17.08.2025;14.425,00;354,15;28,49;9,75
18.08.2025;14.424,00;353,46;28,43;9,74
19.08.2025;14.408,62;353,05;28,40;9,72
20.08.2025;14.396,00;352,49;28,46;9,71
21.08.2025;14.379,00;351,92;28,40;9,69
22.08.2025;14.351,02;351,30;28,47;9,68
23.08.2025;14.324,00;350,64;28,42;9,66
24.08.2025;14.299,00;350,03;28,37;9,64
25.08.2025;14.316,00;349,85;28,10;9,64
26.08.2025;14.550,00;355,39;28,71;9,79
27.08.2025;14.535,00;354,83;28,76;9,77
28.08.2025;14.683,82;358,37;28,91;9,87
29.08.2025;14.637,32;357,50;28,79;9,85
30.08.2025;14.598,00;356,53;28,71;9,82
31.08.2025;14.573,00;355,92;28,66;9,80
01.09.2025;14.537,81;354,25;28,40;9,76
02.09.2025;14.528,40;353,69;28,53;9,74
03.09.2025;14.498,00;352,88;28,48;9,72
04.09.2025;14.474,00;352,24;28,42;9,70
05.09.2025;14.445,05;351,49;28,28;9,68
06.09.2025;14.432,82;351,19;28,25;9,67
07.09.2025;14.399,10;350,37;28,19;9,65
08.09.2025;14.354,00;348,55;27,93;9,60
09.09.2025;14.323,89;347,73;27,80;9,58
10.09.2025;14.300,00;347,08;27,87;9,56
11.09.2025;14.384,00;349,03;28,07;9,61
12.09.2025;14.893,00;361,40;28,96;9,95
13.09.2025;14.332,00;347,79;27,87;9,58
14.09.2025;14.318,00;347,45;27,84;9,57
15.09.2025;14.315,89;347,01;27,77;9,56
16.09.2025;14.314,62;347,19;27,65;9,56
17.09.2025;14.302,00;347,00;27,53;9,56
18.09.2025;14.274,92;346,13;27,51;9,53
19.09.2025;14.436,86;350,12;27,98;9,64
20.09.2025;14.461,73;350,72;28,03;9,66
21.09.2025;14.445,59;350,33;28,00;9,65
22.09.2025;14.444,97;349,77;27,94;9,63
23.09.2025;14.432,87;349,15;27,82;9,62
24.09.2025;14.400,80;348,08;27,80;9,59
25.09.2025;14.360,79;346,92;27,77;9,56
26.09.2025;14.334,35;346,09;27,86;9,53
27.09.2025;14.340,43;346,24;27,88;9,54
28.09.2025;14.331,19;346,01;27,86;9,53
29.09.2025;14.331,72;345,36;27,69;9,51
30.09.2025;14.326,38;345,16;27,62;9,51
01.10.2025;14.818,34;356,96;28,57;9,83
02.10.2025;14.747,56;355,12;28,40;9,78
03.10.2025;14.685,69;353,68;28,33;9,74
04.10.2025;14.584,68;351,25;28,13;9,67
05.10.2025;14.692,74;353,85;28,34;9,75
06.10.2025;14.534,93;349,21;28,12;9,62
07.10.2025;14.507,70;348,56;28,07;9,60
08.10.2025;14.465,59;347,45;28,10;9,57
09.10.2025;14.416,33;346,20;28,01;9,54
10.10.2025;14.328,56;344,12;27,95;9,48
11.10.2025;14.297,80;343,38;27,89;9,46
12.10.2025;14.282,13;343,00;27,86;9,45
13.10.2025;14.520,00;348,04;28,22;9,59
14.10.2025;14.479,26;346,81;28,21;9,55
15.10.2025;14.431,78;345,58;27,93;9,52
16.10.2025;14.297,39;342,26;27,60;9,43
17.10.2025;14.288,00;341,94;27,47;9,42
18.10.2025;14.279,43;341,73;27,45;9,41
19.10.2025;14.273,60;341,59;27,44;9,41
20.10.2025;14.263,25;340,60;27,46;9,38
21.10.2025;14.373,41;343,15;27,75;9,45
22.10.2025;14.272,00;340,65;27,61;9,38
23.10.2025;14.289,86;341,01;27,65;9,39
24.10.2025;14.261,83;340,84;27,58;9,39
25.10.2025;14.391,36;343,94;27,83;9,47
26.10.2025;14.314,76;342,11;27,69;9,42
27.10.2025;14.467,74;345,54;27,92;9,52
28.10.2025;14.436,00;344,78;27,85;9,50
29.10.2025;14.349,00;342,70;27,69;9,44
30.10.2025;14.299,34;341,27;27,62;9,40
31.10.2025;14.496,65;346,05;28,11;9,53
01.11.2025;14.725,00;351,50;28,56;9,68
